Sample	initial_sample_nr	Sequencing_series	Sort_date	Run	Biol_replicate	Culture_type	Cultured_lines	Sorted_line	Cell_type	Drug	Treatment	Drug_concentration	nr_on_tube	pairing_batch
i106	T106	Nov-24	29-Sep-24	Run5	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B36
i107	T107	Nov-24	29-Sep-24	Run5	T4P4	Cocul	mT4_PSC4	PSC4	PSC	H151	H151_25	25	11	B36
i108	T108	Nov-24	29-Sep-24	Run5	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B36
i109	T109	Nov-24	29-Sep-24	Run5	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B37
i110	T110	Nov-24	29-Sep-24	Run5	T3P5	Mono	mT3	mT3	T	H151	H151_25	25	14	B37
i111	T111	Nov-24	29-Sep-24	Run5	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B37
i112	T112	Nov-24	29-Sep-24	Run5	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B38
i113	T113	Nov-24	29-Sep-24	Run5	T4P4	Mono	mT4	mT4	T	H151	H151_25	25	17	B38
i114	T114	Nov-24	29-Sep-24	Run5	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B38
i115	T115	Nov-24	29-Sep-24	Run5	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B39
i116	T116	Nov-24	29-Sep-24	Run5	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_25	25	20	B39
i117	T117	Nov-24	29-Sep-24	Run5	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B39
i118	T118	Nov-24	29-Sep-24	Run5	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B40
i119	T119	Nov-24	29-Sep-24	Run5	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_25	25	23	B40
i120	T120	Nov-24	29-Sep-24	Run5	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B40
i121	s1	Jun-24	01-May-24	RunA	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B41
i122	s3	Jun-24	01-May-24	RunA	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B41
i123	s4	Jun-24	01-May-24	RunA	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B42
i124	s6	Jun-24	01-May-24	RunA	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B42
i125	s7	Jun-24	01-May-24	RunA	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B43
i126	s9	Jun-24	01-May-24	RunA	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B43
i127	s10	Jun-24	01-May-24	RunA	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B44
i128	s12	Jun-24	01-May-24	RunA	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B44
i129	s13	Jun-24	01-May-24	RunA	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B45
i130	s15	Jun-24	01-May-24	RunA	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B45
i131	s16	Jun-24	01-May-24	RunA	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B46
i132	s18	Jun-24	01-May-24	RunA	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B46
i133	s19	Jun-24	01-May-24	RunA	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B47
i134	s21	Jun-24	01-May-24	RunA	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B47
i135	s22	Jun-24	01-May-24	RunA	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B48
i136	s24	Jun-24	01-May-24	RunA	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B48
i137	s25	Jun-24	09-May-24	RunB	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B49
i138	s27	Jun-24	09-May-24	RunB	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B49
i139	s28	Jun-24	09-May-24	RunB	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B50
i140	s30	Jun-24	09-May-24	RunB	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B50
i141	s31	Jun-24	09-May-24	RunB	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B51
i142	s33	Jun-24	09-May-24	RunB	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B51
i143	s34	Jun-24	09-May-24	RunB	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B52
i144	s36	Jun-24	09-May-24	RunB	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B52
i145	s37	Jun-24	09-May-24	RunB	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B53
i146	s39	Jun-24	09-May-24	RunB	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B53
i147	s40	Jun-24	09-May-24	RunB	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B54
i148	s42	Jun-24	09-May-24	RunB	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B54
i149	s43	Jun-24	09-May-24	RunB	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B55
i150	s45	Jun-24	09-May-24	RunB	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B55
i151	s46	Jun-24	09-May-24	RunB	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B56
i152	s49	Jun-24	15-May-24	RunC	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B57
i153	s51	Jun-24	15-May-24	RunC	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B57
i154	s52	Jun-24	15-May-24	RunC	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B58
i155	s54	Jun-24	15-May-24	RunC	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B58
i156	s55	Jun-24	15-May-24	RunC	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B59
i157	s57	Jun-24	15-May-24	RunC	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B59
i158	s58	Jun-24	15-May-24	RunC	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B60
i159	s60	Jun-24	15-May-24	RunC	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B60
i160	s61	Jun-24	15-May-24	RunC	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B61
i161	s63	Jun-24	15-May-24	RunC	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B61
i162	s64	Jun-24	15-May-24	RunC	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B62
i163	s66	Jun-24	15-May-24	RunC	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B62
i164	s67	Jun-24	15-May-24	RunC	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B63
i165	s69	Jun-24	15-May-24	RunC	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B63
i166	s70	Jun-24	15-May-24	RunC	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B64
i167	s72	Jun-24	15-May-24	RunC	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B64
